data;curs;cdx
01.02.2022;86,5032;Евро
29.01.2022;86,6419;Евро
28.01.2022;88,4680;Евро
27.01.2022;89,1511;Евро
26.01.2022;88,9286;Евро
25.01.2022;87,5925;Евро
22.01.2022;86,9054;Евро
21.01.2022;86,8215;Евро
20.01.2022;87,1318;Евро
19.01.2022;87,0216;Евро
18.01.2022;86,8609;Евро
15.01.2022;86,8894;Евро
14.01.2022;85,4556;Евро
13.01.2022;84,6709;Евро
12.01.2022;84,8784;Евро
11.01.2022;85,1315;Евро
31.12.2021;84,0695;Евро
30.12.2021;83,2040;Евро
29.12.2021;83,2194;Евро
28.12.2021;82,9363;Евро
25.12.2021;82,9300;Евро
24.12.2021;83,1223;Евро
23.12.2021;83,1541;Евро
22.12.2021;83,3213;Евро
21.12.2021;83,6187;Евро
18.12.2021;83,5026;Евро
17.12.2021;83,1571;Евро
16.12.2021;83,2375;Евро
15.12.2021;82,8299;Евро
14.12.2021;82,8660;Евро
11.12.2021;83,1158;Евро
10.12.2021;83,3444;Евро
09.12.2021;83,3640;Евро
08.12.2021;83,7114;Евро
07.12.2021;83,1138;Евро
04.12.2021;83,2406;Евро
03.12.2021;83,8105;Евро
02.12.2021;83,8354;Евро
01.12.2021;84,8234;Евро
30.11.2021;84,4820;Евро
27.11.2021;84,9526;Евро
26.11.2021;83,6793;Евро
25.11.2021;83,6394;Евро
24.11.2021;84,1718;Евро
23.11.2021;82,7715;Евро
20.11.2021;82,5845;Евро
19.11.2021;82,2583;Евро
18.11.2021;82,3553;Евро
17.11.2021;82,5244;Евро
16.11.2021;82,7736;Евро
13.11.2021;82,2173;Евро
12.11.2021;81,6552;Евро
11.11.2021;81,7870;Евро
10.11.2021;82,6497;Евро
09.11.2021;82,5355;Евро
04.11.2021;82,8112;Евро
03.11.2021;82,9577;Евро
02.11.2021;82,1687;Евро
30.10.2021;82,2898;Евро
29.10.2021;81,8393;Евро
28.10.2021;81,0289;Евро
27.10.2021;80,7019;Евро
26.10.2021;81,7418;Евро
23.10.2021;82,4979;Евро
22.10.2021;82,6399;Евро
21.10.2021;82,6162;Евро
20.10.2021;82,6841;Евро
19.10.2021;82,4592;Евро
16.10.2021;82,7276;Евро
15.10.2021;83,3347;Евро
14.10.2021;83,0028;Евро
13.10.2021;83,0934;Евро
12.10.2021;82,9273;Евро
09.10.2021;83,1248;Евро
08.10.2021;83,6053;Евро
07.10.2021;83,9251;Евро
06.10.2021;84,1723;Евро
05.10.2021;84,6355;Евро
02.10.2021;84,4577;Евро
01.10.2021;84,3050;Евро
30.09.2021;84,8755;Евро
29.09.2021;84,6752;Евро
28.09.2021;85,0355;Евро
25.09.2021;85,6823;Евро
24.09.2021;85,2040;Евро
23.09.2021;85,4889;Евро
22.09.2021;85,8568;Евро
21.09.2021;85,8785;Евро
18.09.2021;85,4614;Евро
17.09.2021;85,3622;Евро
16.09.2021;86,0674;Евро
15.09.2021;85,9880;Евро
14.09.2021;86,1150;Евро
11.09.2021;86,1478;Евро
10.09.2021;86,4677;Евро
09.09.2021;86,9114;Евро
08.09.2021;86,8922;Евро
07.09.2021;86,5743;Евро
04.09.2021;86,5366;Евро
03.09.2021;86,2970;Евро
02.09.2021;86,3949;Евро
01.09.2021;86,6660;Евро
31.08.2021;86,8104;Евро
28.08.2021;87,0304;Евро
27.08.2021;87,0576;Евро
26.08.2021;86,5814;Евро
25.08.2021;86,8058;Евро
24.08.2021;86,7838;Евро
21.08.2021;86,8646;Евро
20.08.2021;86,6150;Евро
19.08.2021;86,1210;Евро
18.08.2021;86,4804;Евро
17.08.2021;86,5072;Евро
14.08.2021;86,2195;Евро
13.08.2021;86,3457;Евро
12.08.2021;86,6257;Евро
11.08.2021;86,3578;Евро
10.08.2021;86,4378;Евро
07.08.2021;86,4621;Евро
06.08.2021;86,6529;Евро
05.08.2021;86,4112;Евро
04.08.2021;86,5578;Евро
03.08.2021;86,7717;Евро
31.07.2021;86,9913;Евро
30.07.2021;86,8624;Евро
29.07.2021;86,9173;Евро
28.07.2021;86,9919;Евро
27.07.2021;87,3171;Евро
24.07.2021;86,8451;Евро
23.07.2021;86,9227;Евро
22.07.2021;87,5983;Евро
21.07.2021;87,7727;Евро
20.07.2021;87,6097;Евро
17.07.2021;87,5673;Евро
16.07.2021;87,8316;Евро
15.07.2021;87,3917;Евро
14.07.2021;87,7820;Евро
13.07.2021;88,6050;Евро
10.07.2021;88,1397;Евро
09.07.2021;88,7755;Евро
08.07.2021;87,5588;Евро
07.07.2021;87,0034;Евро
06.07.2021;87,0272;Евро
03.07.2021;87,0748;Евро
02.07.2021;86,4113;Евро
01.07.2021;86,5118;Евро
30.06.2021;86,2026;Евро
29.06.2021;86,1657;Евро
26.06.2021;86,1919;Евро
25.06.2021;86,3283;Евро
24.06.2021;86,7137;Евро
23.06.2021;87,0677;Евро
22.06.2021;86,8942;Евро
19.06.2021;85,9943;Евро
18.06.2021;86,7012;Евро
17.06.2021;87,3536;Евро
16.06.2021;87,2110;Евро
12.06.2021;87,3274;Евро
11.06.2021;87,8065;Евро
10.06.2021;87,8114;Евро
09.06.2021;88,6433;Евро
08.06.2021;88,6530;Евро
05.06.2021;88,7545;Евро
04.06.2021;89,2644;Евро
03.06.2021;89,6895;Евро
02.06.2021;89,5958;Евро
01.06.2021;89,3778;Евро
29.05.2021;89,6731;Евро
28.05.2021;89,6555;Евро
27.05.2021;89,9392;Евро
26.05.2021;89,9545;Евро
25.05.2021;89,6877;Евро
22.05.2021;89,9446;Евро
21.05.2021;89,7708;Евро
20.05.2021;90,1006;Евро
19.05.2021;89,9057;Евро
18.05.2021;89,6584;Евро
15.05.2021;89,6249;Евро
14.05.2021;89,9343;Евро
13.05.2021;89,8475;Евро
12.05.2021;90,0040;Евро
08.05.2021;89,5060;Евро
07.05.2021;89,6788;Евро
06.05.2021;89,7742;Евро
05.05.2021;90,4510;Евро
01.05.2021;90,5850;Евро
30.04.2021;90,1513;Евро
29.04.2021;90,4289;Евро
28.04.2021;90,4666;Евро
27.04.2021;90,4468;Евро
24.04.2021;90,4676;Евро
23.04.2021;92,0423;Евро
22.04.2021;92,2913;Евро
21.04.2021;91,7507;Евро
20.04.2021;91,4760;Евро
17.04.2021;90,4602;Евро
16.04.2021;92,2307;Евро
15.04.2021;90,5391;Евро
14.04.2021;91,9162;Евро
13.04.2021;92,0669;Евро
10.04.2021;91,7809;Евро
09.04.2021;91,6192;Евро
08.04.2021;92,3321;Евро
07.04.2021;90,1821;Евро
06.04.2021;89,9958;Евро
03.04.2021;89,5916;Евро
02.04.2021;88,9523;Евро
01.04.2021;88,7452;Евро
31.03.2021;88,8821;Евро
30.03.2021;89,3490;Евро
27.03.2021;89,2576;Евро
26.03.2021;89,9768;Евро
25.03.2021;90,0515;Евро
24.03.2021;89,7670;Евро
23.03.2021;88,6573;Евро
20.03.2021;88,4330;Евро
19.03.2021;88,1173;Евро
18.03.2021;86,9693;Евро
17.03.2021;86,9852;Евро
16.03.2021;87,3508;Евро
13.03.2021;87,7981;Евро
12.03.2021;87,7585;Евро
11.03.2021;87,9587;Евро
10.03.2021;88,1736;Евро
06.03.2021;88,9334;Евро
05.03.2021;88,9421;Евро
04.03.2021;88,8768;Евро
03.03.2021;89,5652;Евро
02.03.2021;89,4461;Евро
27.02.2021;90,3743;Евро
26.02.2021;89,4995;Евро
25.02.2021;89,6691;Евро
21.02.2021;89,6604;Евро
20.02.2021;89,5427;Евро
19.02.2021;88,8700;Евро
18.02.2021;89,0809;Евро
17.02.2021;88,9441;Евро
16.02.2021;88,9754;Евро
13.02.2021;89,6052;Евро
12.02.2021;89,4388;Евро
11.02.2021;89,5684;Евро
10.02.2021;89,5286;Евро
09.02.2021;89,4019;Евро
06.02.2021;89,8850;Евро
05.02.2021;90,9206;Евро
04.02.2021;91,5624;Евро
03.02.2021;91,6250;Евро
02.02.2021;91,5426;Евро
30.01.2021;92,2963;Евро
29.01.2021;92,1310;Евро
28.01.2021;91,2186;Евро
27.01.2021;91,6701;Евро
26.01.2021;91,1458;Евро
23.01.2021;90,4087;Евро
22.01.2021;88,9677;Евро
21.01.2021;89,1483;Евро
20.01.2021;89,2064;Евро
19.01.2021;89,3304;Евро
16.01.2021;89,2546;Евро
15.01.2021;89,6475;Евро
14.01.2021;89,7831;Евро
13.01.2021;90,3227;Евро
12.01.2021;90,8123;Евро
01.01.2021;90,7932;Евро
31.12.2020;90,6824;Евро
30.12.2020;90,2074;Евро
29.12.2020;90,1270;Евро
26.12.2020;89,8749;Евро
25.12.2020;91,3487;Евро
24.12.2020;91,9822;Евро
23.12.2020;92,0699;Евро
22.12.2020;91,0029;Евро
19.12.2020;89,8262;Евро
18.12.2020;89,2887;Евро
17.12.2020;89,3229;Евро
16.12.2020;89,1846;Евро
15.12.2020;88,5847;Евро
12.12.2020;88,7744;Евро
11.12.2020;89,1330;Евро
10.12.2020;88,9418;Евро
09.12.2020;89,2044;Евро
08.12.2020;89,9695;Евро
05.12.2020;90,2618;Евро
04.12.2020;91,1946;Евро
03.12.2020;91,3052;Евро
02.12.2020;91,3096;Евро
01.12.2020;91,2037;Евро
28.11.2020;90,4629;Евро
27.11.2020;90,0291;Евро
26.11.2020;89,8880;Евро
25.11.2020;89,8934;Евро
24.11.2020;89,9347;Евро
21.11.2020;90,2643;Евро
20.11.2020;90,3484;Евро
19.11.2020;90,2314;Евро
18.11.2020;90,3903;Евро
17.11.2020;91,1729;Евро
14.11.2020;91,3222;Евро
13.11.2020;90,8104;Евро
12.11.2020;90,0468;Евро
11.11.2020;90,3557;Евро
10.11.2020;91,4953;Евро
07.11.2020;91,3514;Евро
06.11.2020;92,1229;Евро
04.11.2020;93,3447;Евро
03.11.2020;93,7570;Евро
31.10.2020;92,6284;Евро
30.10.2020;92,6011;Евро
29.10.2020;91,2632;Евро
28.10.2020;90,3552;Евро
27.10.2020;90,4489;Евро
24.10.2020;90,4142;Евро
23.10.2020;91,3563;Евро
22.10.2020;91,3448;Евро
21.10.2020;91,5603;Евро
20.10.2020;91,3115;Евро
17.10.2020;91,3041;Евро
16.10.2020;91,4542;Евро
15.10.2020;90,7065;Евро
14.10.2020;91,0732;Евро
13.10.2020;91,0037;Евро
10.10.2020;90,7163;Евро
09.10.2020;91,6990;Евро
08.10.2020;91,8129;Евро
07.10.2020;92,5184;Евро
06.10.2020;91,6599;Евро
03.10.2020;91,5779;Евро
02.10.2020;90,7237;Евро
01.10.2020;92,4302;Евро
30.09.2020;93,0237;Евро
29.09.2020;91,4790;Евро
26.09.2020;89,6637;Евро
25.09.2020;89,9818;Евро
24.09.2020;89,2508;Евро
23.09.2020;89,4813;Евро
22.09.2020;90,0063;Евро
19.09.2020;88,9578;Евро
18.09.2020;88,6313;Евро
17.09.2020;88,8644;Евро
16.09.2020;89,3614;Евро
15.09.2020;88,5819;Евро
12.09.2020;88,6768;Евро
11.09.2020;89,3036;Евро
10.09.2020;89,5663;Евро
09.09.2020;89,7369;Евро
08.09.2020;89,4771;Евро
05.09.2020;89,0384;Евро
04.09.2020;89,1353;Евро
03.09.2020;87,7369;Евро
02.09.2020;88,1547;Евро
01.09.2020;87,8266;Евро
29.08.2020;88,7448;Евро
28.08.2020;88,9960;Евро
27.08.2020;89,2254;Евро
26.08.2020;88,0590;Евро
25.08.2020;87,9030;Евро
22.08.2020;87,7343;Евро
21.08.2020;87,4261;Евро
20.08.2020;87,4037;Евро
19.08.2020;87,3401;Евро
18.08.2020;86,4666;Евро
