data;curs;cdx
01.02.2022;77,4702;Доллар США
29.01.2022;77,8174;Доллар США
28.01.2022;78,9470;Доллар США
27.01.2022;78,9437;Доллар США
26.01.2022;78,6422;Доллар США
25.01.2022;77,3649;Доллар США
22.01.2022;76,6903;Доллар США
21.01.2022;76,4408;Доллар США
20.01.2022;76,8697;Доллар США
19.01.2022;76,3347;Доллар США
18.01.2022;76,0404;Доллар США
15.01.2022;75,7668;Доллар США
14.01.2022;74,5686;Доллар США
13.01.2022;74,5277;Доллар США
12.01.2022;74,8355;Доллар США
11.01.2022;75,1315;Доллар США
31.12.2021;74,2926;Доллар США
30.12.2021;73,6514;Доллар США
29.12.2021;73,4959;Доллар США
28.12.2021;73,2329;Доллар США
25.12.2021;73,1886;Доллар США
24.12.2021;73,3583;Доллар США
23.12.2021;73,7901;Доллар США
22.12.2021;73,8206;Доллар США
21.12.2021;74,2947;Доллар США
18.12.2021;73,7330;Доллар США
17.12.2021;73,5708;Доллар США
16.12.2021;73,8510;Доллар США
15.12.2021;73,4698;Доллар США
14.12.2021;73,4107;Доллар США
11.12.2021;73,6059;Доллар США
10.12.2021;73,5998;Доллар США
09.12.2021;73,8453;Доллар США
08.12.2021;74,1399;Доллар США
07.12.2021;73,6694;Доллар США
04.12.2021;73,7426;Доллар США
03.12.2021;74,0637;Доллар США
02.12.2021;73,9746;Доллар США
01.12.2021;74,8926;Доллар США
30.11.2021;74,9818;Доллар США
27.11.2021;75,5873;Доллар США
26.11.2021;74,6004;Доллар США
25.11.2021;74,3726;Доллар США
24.11.2021;74,8327;Доллар США
23.11.2021;73,4506;Доллар США
20.11.2021;72,7617;Доллар США
19.11.2021;72,6022;Доллар США
18.11.2021;72,8228;Доллар США
17.11.2021;72,5553;Доллар США
16.11.2021;72,2724;Доллар США
13.11.2021;71,8118;Доллар США
12.11.2021;71,1964;Доллар США
11.11.2021;70,6950;Доллар США
10.11.2021;71,2866;Доллар США
09.11.2021;71,3975;Доллар США
04.11.2021;71,4876;Доллар США
