nominal;data;curs;cdx
100;05.03.2022;"21,0112";Армянский драм
100;04.03.2022;"22,7494";Армянский драм
100;03.03.2022;"21,1143";Армянский драм
100;02.03.2022;"18,8196";Армянский драм
100;01.03.2022;"19,5240";Армянский драм
100;26.02.2022;"17,4059";Армянский драм
100;25.02.2022;"18,1102";Армянский драм
100;23.02.2022;"16,6638";Армянский драм
100;22.02.2022;"15,9931";Армянский драм
100;19.02.2022;"15,8465";Армянский драм
100;18.02.2022;"15,7818";Армянский драм
100;17.02.2022;"15,6198";Армянский драм
100;16.02.2022;"15,8679";Армянский драм
100;15.02.2022;"15,9700";Армянский драм
100;12.02.2022;"15,6125";Армянский драм
100;11.02.2022;"15,5481";Армянский драм
100;10.02.2022;"15,5918";Армянский драм
100;09.02.2022;"15,5990";Армянский драм
100;08.02.2022;"15,6786";Армянский драм
100;05.02.2022;"15,7537";Армянский драм
100;04.02.2022;"15,8597";Армянский драм
100;03.02.2022;"15,8354";Армянский драм
100;02.02.2022;"15,9690";Армянский драм
100;01.02.2022;"16,0394";Армянский драм
100;29.01.2022;"16,1113";Армянский драм
100;28.01.2022;"16,3536";Армянский драм
100;27.01.2022;"16,3445";Армянский драм
100;26.01.2022;"16,3667";Армянский драм
100;25.01.2022;"16,1009";Армянский драм
100;22.01.2022;"15,9539";Армянский драм
100;21.01.2022;"15,8954";Армянский драм
100;20.01.2022;"15,9912";Армянский драм
100;19.01.2022;"15,8601";Армянский драм
100;18.01.2022;"15,7760";Армянский драм
100;15.01.2022;"15,6948";Армянский драм
100;14.01.2022;"15,4466";Армянский драм
100;13.01.2022;"15,4943";Армянский драм
100;12.01.2022;"15,5019";Армянский драм
100;11.01.2022;"15,5311";Армянский драм
100;31.12.2021;"15,5164";Армянский драм
100;30.12.2021;"14,9576";Армянский драм
100;29.12.2021;"14,9230";Армянский драм
100;28.12.2021;"14,8696";Армянский драм
100;25.12.2021;"14,8606";Армянский драм
100;24.12.2021;"14,8348";Армянский драм
100;23.12.2021;"14,9843";Армянский драм
100;22.12.2021;"14,9890";Армянский драм
100;21.12.2021;"15,0822";Армянский драм
100;18.12.2021;"14,9681";Армянский драм
100;17.12.2021;"14,8899";Армянский драм
100;16.12.2021;"14,9526";Армянский драм
100;15.12.2021;"14,8154";Армянский драм
100;14.12.2021;"14,8605";Армянский драм
100;11.12.2021;"14,8774";Армянский драм
100;10.12.2021;"14,8686";Армянский драм
100;09.12.2021;"15,0245";Армянский драм
100;08.12.2021;"15,0921";Армянский драм
100;07.12.2021;"14,9963";Армянский драм
100;04.12.2021;"15,0342";Армянский драм
100;03.12.2021;"15,2160";Армянский драм
100;02.12.2021;"15,2016";Армянский драм
100;01.12.2021;"15,3902";Армянский драм
100;30.11.2021;"15,5162";Армянский драм
100;27.11.2021;"15,6414";Армянский драм
100;26.11.2021;"15,4773";Армянский драм
100;25.11.2021;"15,5396";Армянский драм
100;24.11.2021;"15,7014";Армянский драм
100;23.11.2021;"15,4049";Армянский драм
100;20.11.2021;"15,2508";Армянский драм
100;19.11.2021;"15,2398";Армянский драм
100;18.11.2021;"15,2925";Армянский драм
100;17.11.2021;"15,2491";Армянский драм
100;16.11.2021;"15,1992";Армянский драм
100;13.11.2021;"15,1024";Армянский драм
100;12.11.2021;"14,9698";Армянский драм
100;11.11.2021;"14,8301";Армянский драм
100;10.11.2021;"14,9479";Армянский драм
100;09.11.2021;"14,9806";Армянский драм
100;04.11.2021;"14,9587";Армянский драм
100;03.11.2021;"14,9505";Армянский драм
100;02.11.2021;"14,8810";Армянский драм
100;30.10.2021;"14,7624";Армянский драм
100;29.10.2021;"14,7811";Армянский драм
100;28.10.2021;"14,6353";Армянский драм
100;27.10.2021;"14,5782";Армянский драм
100;26.10.2021;"14,7310";Армянский драм
100;23.10.2021;"14,8372";Армянский драм
100;22.10.2021;"14,8640";Армянский драм
100;21.10.2021;"14,8807";Армянский драм
100;20.10.2021;"14,8561";Армянский драм
100;19.10.2021;"14,8552";Армянский драм
100;16.10.2021;"14,8503";Армянский драм
100;15.10.2021;"14,9989";Армянский драм
100;14.10.2021;"15,0298";Армянский драм
100;13.10.2021;"15,0345";Армянский драм
100;12.10.2021;"14,9806";Армянский драм
100;09.10.2021;"15,0289";Армянский драм
100;08.10.2021;"14,9134";Армянский драм
100;07.10.2021;"14,8462";Армянский драм
100;06.10.2021;"14,7873";Армянский драм
100;05.10.2021;"14,9129";Армянский драм
100;02.10.2021;"14,8653";Армянский драм
100;01.10.2021;"14,8037";Армянский драм
100;30.09.2021;"14,8053";Армянский драм
100;29.09.2021;"15,0296";Армянский драм
100;28.09.2021;"14,7791";Армянский драм
100;25.09.2021;"14,8345";Армянский драм
100;24.09.2021;"14,7799";Армянский драм
100;23.09.2021;"14,9982";Армянский драм
100;22.09.2021;"15,0653";Армянский драм
100;21.09.2021;"14,9199";Армянский драм
100;18.09.2021;"14,7315";Армянский драм
100;17.09.2021;"14,7057";Армянский драм
100;16.09.2021;"14,8620";Армянский драм
100;15.09.2021;"14,7514";Армянский драм
100;14.09.2021;"14,8349";Армянский драм
100;11.09.2021;"14,7511";Армянский драм
100;10.09.2021;"14,8320";Армянский драм
100;09.09.2021;"14,8985";Армянский драм
100;08.09.2021;"14,8280";Армянский драм
100;07.09.2021;"14,7844";Армянский драм
100;04.09.2021;"14,7616";Армянский драм
100;03.09.2021;"14,7587";Армянский драм
100;02.09.2021;"14,8506";Армянский драм
100;01.09.2021;"14,8622";Армянский драм
100;31.08.2021;"14,9284";Армянский драм
100;28.08.2021;"15,0303";Армянский драм
100;27.08.2021;"15,0281";Армянский драм
100;26.08.2021;"15,0195";Армянский драм
100;25.08.2021;"15,0252";Армянский драм
100;24.08.2021;"15,0527";Армянский драм
100;21.08.2021;"15,1285";Армянский драм
100;20.08.2021;"15,0994";Армянский драм
100;19.08.2021;"14,9331";Армянский драм
100;18.08.2021;"14,9182";Армянский драм
100;17.08.2021;"14,9092";Армянский драм
100;14.08.2021;"14,9409";Армянский драм
100;13.08.2021;"14,9481";Армянский драм
100;12.08.2021;"15,0360";Армянский драм
100;11.08.2021;"14,9540";Армянский драм
100;10.08.2021;"14,9300";Армянский драм
100;07.08.2021;"14,8383";Армянский драм
100;06.08.2021;"14,8369";Армянский драм
100;05.08.2021;"14,8770";Армянский драм
100;04.08.2021;"14,8856";Армянский драм
100;03.08.2021;"14,9118";Армянский драм
100;31.07.2021;"15,0569";Армянский драм
100;30.07.2021;"15,1747";Армянский драм
100;29.07.2021;"15,0884";Армянский драм
100;28.07.2021;"15,1497";Армянский драм
100;27.07.2021;"15,2011";Армянский драм
100;24.07.2021;"15,1300";Армянский драм
100;23.07.2021;"15,1122";Армянский драм
100;22.07.2021;"15,1674";Армянский драм
100;21.07.2021;"15,0563";Армянский драм
100;20.07.2021;"14,9425";Армянский драм
100;17.07.2021;"14,8972";Армянский драм
100;16.07.2021;"14,8991";Армянский драм
100;15.07.2021;"14,8917";Армянский драм
100;14.07.2021;"14,8638";Армянский драм
100;13.07.2021;"14,9701";Армянский драм
100;10.07.2021;"14,9488";Армянский драм
100;09.07.2021;"15,1010";Армянский драм
100;08.07.2021;"14,8696";Армянский драм
100;07.07.2021;"14,7047";Армянский драм
100;06.07.2021;"14,8043";Армянский драм
100;03.07.2021;"14,7811";Армянский драм
100;02.07.2021;"14,6329";Армянский драм
100;01.07.2021;"14,6806";Армянский драм
100;30.06.2021;"14,5078";Армянский драм
100;29.06.2021;"14,4630";Армянский драм
100;26.06.2021;"14,2094";Армянский драм
100;25.06.2021;"14,1259";Армянский драм
100;24.06.2021;"14,1637";Армянский драм
100;23.06.2021;"14,1315";Армянский драм
100;22.06.2021;"14,1406";Армянский драм
100;19.06.2021;"13,9410";Армянский драм
100;18.06.2021;"13,9903";Армянский драм
100;17.06.2021;"13,9684";Армянский драм
100;16.06.2021;"13,8098";Армянский драм
100;12.06.2021;"13,8037";Армянский драм
100;11.06.2021;"13,8694";Армянский драм
100;10.06.2021;"13,8666";Армянский драм
100;09.06.2021;"14,0044";Армянский драм
100;08.06.2021;"14,0243";Армянский драм
100;05.06.2021;"14,0854";Армянский драм
100;04.06.2021;"14,0716";Армянский драм
100;03.06.2021;"14,1160";Армянский драм
100;02.06.2021;"14,0683";Армянский драм
100;01.06.2021;"14,0752";Армянский драм
100;29.05.2021;"14,1302";Армянский драм
100;28.05.2021;"14,1081";Армянский драм
100;27.05.2021;"14,1146";Армянский драм
100;26.05.2021;"14,0989";Армянский драм
100;25.05.2021;"14,1251";Армянский драм
100;22.05.2021;"14,1299";Армянский драм
100;21.05.2021;"14,1344";Армянский драм
100;20.05.2021;"14,1267";Армянский драм
100;19.05.2021;"14,1211";Армянский драм
100;18.05.2021;"14,1198";Армянский драм
100;15.05.2021;"14,1458";Армянский драм
100;14.05.2021;"14,2372";Армянский драм
100;13.05.2021;"14,1812";Армянский драм
100;12.05.2021;"14,1962";Армянский драм
100;08.05.2021;"14,2175";Армянский драм
100;07.05.2021;"14,3175";Армянский драм
100;06.05.2021;"14,3722";Армянский драм
100;05.05.2021;"14,4549";Армянский драм
100;01.05.2021;"14,3761";Армянский драм
100;30.04.2021;"14,3095";Армянский драм
100;29.04.2021;"14,4033";Армянский драм
100;28.04.2021;"14,4022";Армянский драм
100;27.04.2021;"14,3267";Армянский драм
100;24.04.2021;"14,3783";Армянский драм
100;23.04.2021;"14,6340";Армянский драм
100;22.04.2021;"14,7198";Армянский драм
100;21.04.2021;"14,5498";Армянский драм
100;20.04.2021;"14,6015";Армянский драм
100;17.04.2021;"14,4961";Армянский драм
100;16.04.2021;"14,8228";Армянский драм
100;15.04.2021;"14,6247";Армянский драм
100;14.04.2021;"14,9571";Армянский драм
100;13.04.2021;"14,5483";Армянский драм
100;10.04.2021;"14,4928";Армянский драм
100;09.04.2021;"14,4249";Армянский драм
100;08.04.2021;"14,5506";Армянский драм
100;07.04.2021;"14,3235";Армянский драм
100;06.04.2021;"14,3657";Армянский драм
100;03.04.2021;"14,3602";Армянский драм
100;02.04.2021;"14,3100";Армянский драм
100;01.04.2021;"14,2914";Армянский драм
100;31.03.2021;"14,3105";Армянский драм
100;30.03.2021;"14,3411";Армянский драм
100;27.03.2021;"14,3412";Армянский драм
100;26.03.2021;"14,4269";Армянский драм
100;25.03.2021;"14,4230";Армянский драм
100;24.03.2021;"14,2792";Армянский драм
100;23.03.2021;"14,1371";Армянский драм
100;20.03.2021;"14,0481";Армянский драм
100;19.03.2021;"13,9570";Армянский драм
100;18.03.2021;"13,8516";Армянский драм
100;17.03.2021;"13,8316";Армянский драм
100;16.03.2021;"13,8828";Армянский драм
100;13.03.2021;"13,9418";Армянский драм
100;12.03.2021;"13,9402";Армянский драм
100;11.03.2021;"14,0559";Армянский драм
100;10.03.2021;"14,1331";Армянский драм
100;06.03.2021;"14,1807";Армянский драм
100;05.03.2021;"14,0345";Армянский драм
100;04.03.2021;"13,9438";Армянский драм
100;03.03.2021;"14,1442";Армянский драм
100;02.03.2021;"14,0236";Армянский драм
100;27.02.2021;"14,1047";Армянский драм
100;26.02.2021;"13,9355";Армянский драм
100;25.02.2021;"13,9949";Армянский драм
100;21.02.2021;"14,1060";Армянский драм
100;20.02.2021;"14,1208";Армянский драм
100;19.02.2021;"14,0704";Армянский драм
100;18.02.2021;"14,0898";Армянский драм
100;17.02.2021;"13,9705";Армянский драм
100;16.02.2021;"13,9890";Армянский драм
100;13.02.2021;"14,1089";Армянский драм
