nominal;data;curs;cdx
1;05.03.2022;"59,5891";Болгарский лев
1;04.03.2022;"63,3935";Болгарский лев
1;03.03.2022;"58,5742";Болгарский лев
1;02.03.2022;"52,5944";Болгарский лев
1;01.03.2022;"53,4592";Болгарский лев
1;26.02.2022;"47,7475";Болгарский лев
1;25.02.2022;"50,0137";Болгарский лев
1;23.02.2022;"46,5552";Болгарский лев
1;22.02.2022;"44,6502";Болгарский лев
1;19.02.2022;"44,0527";Болгарский лев
1;18.02.2022;"44,0320";Болгарский лев
1;17.02.2022;"43,6535";Болгарский лев
1;16.02.2022;"44,1516";Болгарский лев
1;15.02.2022;"44,3355";Болгарский лев
1;12.02.2022;"43,6833";Болгарский лев
1;11.02.2022;"43,6677";Болгарский лев
1;10.02.2022;"43,6874";Болгарский лев
1;09.02.2022;"43,8964";Болгарский лев
1;08.02.2022;"44,2861";Болгарский лев
1;05.02.2022;"44,5159";Болгарский лев
1;04.02.2022;"44,2655";Болгарский лев
1;03.02.2022;"44,1624";Болгарский лев
1;02.02.2022;"44,3838";Болгарский лев
1;01.02.2022;"44,2839";Болгарский лев
1;29.01.2022;"44,2824";Болгарский лев
1;28.01.2022;"45,2082";Болгарский лев
1;27.01.2022;"45,5795";Болгарский лев
1;26.01.2022;"45,4711";Болгарский лев
1;25.01.2022;"44,7869";Болгарский лев
1;22.01.2022;"44,4607";Болгарский лев
1;21.01.2022;"44,4062";Болгарский лев
1;20.01.2022;"44,5363";Болгарский лев
1;19.01.2022;"44,5152";Болгарский лев
1;18.01.2022;"44,4343";Болгарский лев
1;15.01.2022;"44,4276";Болгарский лев
1;14.01.2022;"43,7429";Болгарский лев
1;13.01.2022;"43,2873";Болгарский лев
1;12.01.2022;"43,4181";Болгарский лев
1;11.01.2022;"43,5066";Болгарский лев
1;31.12.2021;"42,9487";Болгарский лев
1;30.12.2021;"42,4920";Болгарский лев
1;29.12.2021;"42,5299";Болгарский лев
1;28.12.2021;"42,3777";Болгарский лев
1;25.12.2021;"42,3521";Болгарский лев
1;24.12.2021;"42,4748";Болгарский лев
1;23.12.2021;"42,5279";Болгарский лев
1;22.12.2021;"42,6487";Болгарский лев
1;21.12.2021;"42,7546";Болгарский лев
1;18.12.2021;"42,6992";Болгарский лев
1;17.12.2021;"42,5142";Болгарский лев
1;16.12.2021;"42,5679";Болгарский лев
1;15.12.2021;"42,3652";Болгарский лев
1;14.12.2021;"42,3654";Болгарский лев
1;11.12.2021;"42,4829";Болгарский лев
1;10.12.2021;"42,5875";Болгарский лев
1;09.12.2021;"42,6039";Болгарский лев
1;08.12.2021;"42,8084";Болгарский лев
1;07.12.2021;"42,5220";Болгарский лев
1;04.12.2021;"42,5889";Болгарский лев
1;03.12.2021;"42,8485";Болгарский лев
1;02.12.2021;"42,8168";Болгарский лев
1;01.12.2021;"43,4110";Болгарский лев
