nominal;data;curs;cdx
1;05.03.2022;"116,5312";Åâðî
1;04.03.2022;"124,0161";Åâðî
1;03.03.2022;"114,5544";Åâðî
1;02.03.2022;"102,9112";Åâðî
1;01.03.2022;"104,4772";Åâðî
1;26.02.2022;"93,5994";Åâðî
1;25.02.2022;"97,7688";Åâðî
1;23.02.2022;"90,8820";Åâðî
1;22.02.2022;"87,3379";Åâðî
1;19.02.2022;"86,1489";Åâðî
1;18.02.2022;"86,1308";Åâðî
1;17.02.2022;"85,3060";Åâðî
1;16.02.2022;"86,2656";Åâðî
1;15.02.2022;"86,8451";Åâðî
1;12.02.2022;"85,3574";Åâðî
1;11.02.2022;"85,3798";Åâðî
1;10.02.2022;"85,3784";Åâðî
1;09.02.2022;"85,8920";Åâðî
1;08.02.2022;"86,5181";Åâðî
1;05.02.2022;"87,1163";Åâðî
1;04.02.2022;"86,5610";Åâðî
1;03.02.2022;"86,2826";Åâðî
1;02.02.2022;"86,7869";Åâðî
1;01.02.2022;"86,5032";Åâðî
1;29.01.2022;"86,6419";Åâðî
1;28.01.2022;"88,4680";Åâðî
1;27.01.2022;"89,1511";Åâðî
1;26.01.2022;"88,9286";Åâðî
1;25.01.2022;"87,5925";Åâðî
1;22.01.2022;"86,9054";Åâðî
1;21.01.2022;"86,8215";Åâðî
1;20.01.2022;"87,1318";Åâðî
1;19.01.2022;"87,0216";Åâðî
1;18.01.2022;"86,8609";Åâðî
1;15.01.2022;"86,8894";Åâðî
1;14.01.2022;"85,4556";Åâðî
1;13.01.2022;"84,6709";Åâðî
1;12.01.2022;"84,8784";Åâðî
1;11.01.2022;"85,1315";Åâðî
1;31.12.2021;"84,0695";Åâðî
1;30.12.2021;"83,2040";Åâðî
1;29.12.2021;"83,2194";Åâðî
1;28.12.2021;"82,9363";Åâðî
1;25.12.2021;"82,9300";Åâðî
1;24.12.2021;"83,1223";Åâðî
1;23.12.2021;"83,1541";Åâðî
1;22.12.2021;"83,3213";Åâðî
1;21.12.2021;"83,6187";Åâðî
1;18.12.2021;"83,5026";Åâðî
1;17.12.2021;"83,1571";Åâðî
1;16.12.2021;"83,2375";Åâðî
1;15.12.2021;"82,8299";Åâðî
1;14.12.2021;"82,8660";Åâðî
1;11.12.2021;"83,1158";Åâðî
1;10.12.2021;"83,3444";Åâðî
1;09.12.2021;"83,3640";Åâðî
1;08.12.2021;"83,7114";Åâðî
1;07.12.2021;"83,1138";Åâðî
1;04.12.2021;"83,2406";Åâðî
1;03.12.2021;"83,8105";Åâðî
1;02.12.2021;"83,8354";Åâðî
1;01.12.2021;"84,8234";Åâðî
1;30.11.2021;"84,4820";Åâðî
1;27.11.2021;"84,9526";Åâðî
1;26.11.2021;"83,6793";Åâðî
1;25.11.2021;"83,6394";Åâðî
1;24.11.2021;"84,1718";Åâðî
1;23.11.2021;"82,7715";Åâðî
1;20.11.2021;"82,5845";Åâðî
1;19.11.2021;"82,2583";Åâðî
1;18.11.2021;"82,3553";Åâðî
1;17.11.2021;"82,5244";Åâðî
1;16.11.2021;"82,7736";Åâðî
1;13.11.2021;"82,2173";Åâðî
1;12.11.2021;"81,6552";Åâðî
1;11.11.2021;"81,7870";Åâðî
1;10.11.2021;"82,6497";Åâðî
1;09.11.2021;"82,5355";Åâðî
1;04.11.2021;"82,8112";Åâðî
1;03.11.2021;"82,9577";Åâðî
1;02.11.2021;"82,1687";Åâðî
1;30.10.2021;"82,2898";Åâðî
1;29.10.2021;"81,8393";Åâðî
1;28.10.2021;"81,0289";Åâðî
1;27.10.2021;"80,7019";Åâðî
1;26.10.2021;"81,7418";Åâðî
1;23.10.2021;"82,4979";Åâðî
1;22.10.2021;"82,6399";Åâðî
1;21.10.2021;"82,6162";Åâðî
1;20.10.2021;"82,6841";Åâðî
1;19.10.2021;"82,4592";Åâðî
1;16.10.2021;"82,7276";Åâðî
1;15.10.2021;"83,3347";Åâðî
1;14.10.2021;"83,0028";Åâðî
