nominal;data;curs;cdx
10;05.03.2022;"74,4922";Турецкая лира
10;04.03.2022;"79,0340";Турецкая лира
10;03.03.2022;"73,6145";Турецкая лира
10;02.03.2022;"66,1464";Турецкая лира
10;01.03.2022;"67,7806";Турецкая лира
10;26.02.2022;"59,4030";Турецкая лира
10;25.02.2022;"61,5530";Турецкая лира
10;23.02.2022;"58,4656";Турецкая лира
10;22.02.2022;"56,3242";Турецкая лира
10;19.02.2022;"55,6198";Турецкая лира
10;18.02.2022;"55,6461";Турецкая лира
10;17.02.2022;"55,0558";Турецкая лира
10;16.02.2022;"56,0238";Турецкая лира
10;15.02.2022;"56,5426";Турецкая лира
10;12.02.2022;"55,3865";Турецкая лира
10;11.02.2022;"55,1771";Турецкая лира
10;10.02.2022;"55,0270";Турецкая лира
10;09.02.2022;"55,1740";Турецкая лира
10;08.02.2022;"55,8409";Турецкая лира
10;05.02.2022;"56,0765";Турецкая лира
10;04.02.2022;"56,5062";Турецкая лира
10;03.02.2022;"56,9084";Турецкая лира
10;02.02.2022;"57,6416";Турецкая лира
10;01.02.2022;"58,1259";Турецкая лира
10;29.01.2022;"57,1556";Турецкая лира
10;28.01.2022;"58,0681";Турецкая лира
10;27.01.2022;"58,5657";Турецкая лира
10;26.01.2022;"58,1480";Турецкая лира
10;25.01.2022;"57,8343";Турецкая лира
10;22.01.2022;"57,1544";Турецкая лира
10;21.01.2022;"56,6413";Турецкая лира
10;20.01.2022;"56,4318";Турецкая лира
10;19.01.2022;"56,4894";Турецкая лира
10;18.01.2022;"56,3993";Турецкая лира
10;15.01.2022;"56,0302";Турецкая лира
10;14.01.2022;"55,0740";Турецкая лира
10;13.01.2022;"54,3581";Турецкая лира
10;12.01.2022;"54,0875";Турецкая лира
10;11.01.2022;"54,3317";Турецкая лира
10;31.12.2021;"57,8432";Турецкая лира
10;30.12.2021;"60,9117";Турецкая лира
10;29.12.2021;"62,1005";Турецкая лира
10;28.12.2021;"63,8724";Турецкая лира
10;25.12.2021;"62,9433";Турецкая лира
10;24.12.2021;"63,3278";Турецкая лира
10;23.12.2021;"59,1575";Турецкая лира
10;22.12.2021;"53,3386";Турецкая лира
10;21.12.2021;"42,4692";Турецкая лира
10;18.12.2021;"45,7497";Турецкая лира
10;17.12.2021;"48,4624";Турецкая лира
10;16.12.2021;"50,4792";Турецкая лира
10;15.12.2021;"51,8580";Турецкая лира
10;14.12.2021;"51,0151";Турецкая лира
10;11.12.2021;"53,1531";Турецкая лира
10;10.12.2021;"53,5193";Турецкая лира
10;09.12.2021;"54,0971";Турецкая лира
10;08.12.2021;"54,2327";Турецкая лира
10;07.12.2021;"53,6890";Турецкая лира
10;04.12.2021;"53,5745";Турецкая лира
10;03.12.2021;"54,9626";Турецкая лира
10;02.12.2021;"54,4291";Турецкая лира
10;01.12.2021;"58,3507";Турецкая лира
10;30.11.2021;"59,6433";Турецкая лира
10;27.11.2021;"62,9333";Турецкая лира
10;26.11.2021;"62,2490";Турецкая лира
10;25.11.2021;"57,9316";Турецкая лира
10;24.11.2021;"62,2532";Турецкая лира
10;23.11.2021;"65,9773";Турецкая лира
10;20.11.2021;"66,6255";Турецкая лира
10;19.11.2021;"67,5665";Турецкая лира
10;18.11.2021;"70,0637";Турецкая лира
10;17.11.2021;"71,4429";Турецкая лира
10;16.11.2021;"72,3955";Турецкая лира
10;13.11.2021;"72,2620";Турецкая лира
10;12.11.2021;"71,5419";Турецкая лира
10;11.11.2021;"72,2557";Турецкая лира
10;10.11.2021;"73,2459";Турецкая лира
10;09.11.2021;"73,7189";Турецкая лира
10;04.11.2021;"74,2512";Турецкая лира
10;03.11.2021;"75,2617";Турецкая лира
10;02.11.2021;"74,4336";Турецкая лира
10;30.10.2021;"73,4384";Турецкая лира
10;29.10.2021;"73,4537";Турецкая лира
10;28.10.2021;"73,5923";Турецкая лира
10;27.10.2021;"73,5866";Турецкая лира
10;26.10.2021;"72,1318";Турецкая лира
10;23.10.2021;"73,5750";Турецкая лира
10;22.10.2021;"76,6560";Турецкая лира
10;21.10.2021;"76,2308";Турецкая лира
10;20.10.2021;"76,2656";Турецкая лира
